daily_double,category,question,answer,type_id
0,BIRDS,"Geese, crows & ravens are smarter than these supposedly wise birds",owls,10
0,BIRDS,"Too ""lei""zy to migrate, the geese in this tropical state stay year-round",Hawaii,10
1,BIRDS,"This New Zealand bird lays eggs, not fruit, that weigh up to 1/4 of its body weight",kiwi,10
0,BIRDS,"Named for the sound it makes, it nests in trees, not in timepieces",cuckoo,10
0,BIRDS,"A bird waterproofs its feathers with oil from its ""preen gland"", located at the base of this",its tail,10
0,BIRDS,This 7-letter word refers to all domesticated birds which are raised for their eggs or meaf,poultry,10
1,BIRDS,"Lovebirds, macaws & parakeets are members of this bird family",parrots,10
0,BIRDS,"The 2 continents where, until recently, condors were found naturally",North America & South America,10
0,BIRDS,"Instead of flying to a warmer climate, the poorwill does this during the winter",hibernate,10
0,BIRDS,This bird's head endures an impact of up to 1200 gs as it hammers away at trees,a woodpecker,10
0,BIRDS,"Some of these large birds are ""trumpeters"", & some are ""whistling"", but others are ""mute\""",swans,10
0,BIRDS,These familiar city birds are also known as rock doves,pigeons,10
0,BIRDS,"The blue & green ""eyes"" on this bird's tail feathers are just circular patches of feathers",the peacock,10
0,BIRDS,"This ""camel bird"" now found only in Central & South Africa doesn't really bury its head in the sand when threatened",the ostrich,10
0,BODIES OF WATER,"Bordering on Mich. & N.Y., these 2 Great Lakes are the only ones to border on 1 state each",Lake Huron & Lake Ontario,2
1,BODIES OF WATER,This body of water bearing the name of a country borders 5 U.S. states,the Gulf of Mexico,2
0,BODIES OF WATER,"This African river's drainage basin, the world's longest, covers 35 degrees of latitude",the Nile,2
0,BODIES OF WATER,The Bay of Biscay between Spain & France & Biscayne Bay in Florida are both inlets of this ocean,Atlantic,2
0,BODIES OF WATER,Reports of this Scottish lake being inhabited by a monster date back to the 6th century,Loch Ness,2
0,BODIES OF WATER,In area this Canadian bay is more than 3 times as large as all the Great Lakes combined,Hudson Bay,2
0,BODIES OF WATER,____  is the largest lake by surface area in the world.,Caspian Sea,2
0,BODIES OF WATER,"Covering 64 million square miles, it's the largest ocean in the world",the Pacific,2
0,BODIES OF WATER,"Sigsbee Deep, the deepest point in this gulf, lies about 200 miles southeast of Brownsville, Texas",Gulf of Mexico,2
0,BODIES OF WATER,Lake Nasser was formed in 1968 when the waters of this river were blocked by the Aswan High Dam,the Nile River,2
0,BODIES OF WATER,Iowa's lowest point is a the junction of the Des Moines River & this river that forms Iowa's Eastern border,the Mississippi River,2
0,BODIES OF WATER,"The Gulf of Taranto lies between the ""heel"" & the rest of the ""foot"" of this country",Italy,2
0,BODIES OF WATER,"At the point where it enters the Caspian Sea, this Russian river is 92 feet below sea level",the Volga,2
0,BODIES OF WATER,The movement of water in a river is called a ____.,Current,2
0,BODIES OF WATER,This river is recognized as the world’s largest blackwater river.,Rio Negro,2
1,BODIES OF WATER,"Sharing its name with a state, it's the only one of the Great Lakes entirely within the U.S.",Lake Michigan,2
0,BODIES OF WATER,It's the gulf from which the Gulf Stream got its name,Gulf of Mexico,2
0,BODIES OF WATER,"Saltier than any ocean, the Great Salt Lake is the largest lake in this western U.S. State",Utah,2
1,BODIES OF WATER,Amelia Earhart became the first female to fly solo across this ocean in 1932.,Atlantic,2
0,BODIES OF WATER,"Near the equator this ocean stretches about 12,000 miles from Colombia to the Malay Peninsula",the Pacific,2
0,BODY LANGUAGE,"Landing an entry-level job is one way of getting this extremity ""in the door\""",Your foot,5
0,BODY LANGUAGE,"Students especially should know this is the ""black hole"" in the center of the eye's iris",pupil,5
0,BODY LANGUAGE,"To unburden yourself of a problem is to ""get it off"" this -- the body part, not the bureau",Your chest,5
1,BODY LANGUAGE,A membrane called the pericardium encloses this organ,the heart,5
0,BODY LANGUAGE,It's the flap of material under the laces of a shoe,the tongue,5
0,BODY LANGUAGE,"To ""put my"" this ""down"" means I'm ending the discussion once & for all",the foot,5
0,BODY LANGUAGE,There are 6 of these glands that make your mouth water,salivary glands,5
0,BODY LANGUAGE,A driver who slows down to look at a car wreck has a rubber one,Neck,5
0,BODY LANGUAGE,"Composed of 8 bones, it's the largest part of the skull; it shields the brain",cranium,5
1,BODY LANGUAGE,They're the projections on a comb or gear,teeth,5
0,BODY LANGUAGE,"The cerebrum, a major part of this organ, is said to look like a large, shelled walnut",brain,5
0,BODY LANGUAGE,"\""Having thin"" this means criticism bothers you",skin,5
0,BODY LANGUAGE,"Your granny might remember when you were this high ""to a grasshopper\""",Knee high,5
0,BODY LANGUAGE,It's the more common name for the easily fractued clavicle,Collarbone,5
0,BODY LANGUAGE,"(Hello, I'm Jay Leno)  A boxing expression says a person who suffers a setback ""takes it"" on this body part",Chin,5
0,BODY LANGUAGE,This hinged part of a book usually bears the title,the spine,5
0,BODY LANGUAGE,"Having this ""in the pie"" means you're meddling in something",your finger,5
1,BODY LANGUAGE,Term for the threading hole of a needle,the eye,5
0,BODY LANGUAGE,Students know that this black opening in the center of the eye controls the amount of light that enters,pupil,5
0,BODY LANGUAGE,"You may be ""chilled to"" this; I'm ""bad to"" it",the bone,5
0,BOTANY,"The new white ""Little Boo"" pumpkins were bred to be carved into these & shouldn't be eaten",jack-o'-lanterns,3
1,BOTANY,"A type of dried fruit, or to cut back a plant or tree",prune,3
0,BOTANY,"This ""sugar"" tree is the state tree of New York, Vermont, West Virginia & Wisconsin",Maple,3
0,BOTANY,Growers of this pitted red pie fruit plant mulberry trees near their orchards to entice birds away,cherries,3
0,BOTANY,"Despite its name, this plant usually blooms after 10 to 15 years, not 100",century plant,3
0,BOTANY,"When roasted they won't make you itch, but cashews are related to this poisonous plant",poison ivy,3
0,BOTANY,It's the milky sap of the rubber tree,latex,3
1,BOTANY,"Species of this plant include the jumpng cholla, barrel & organ pipe",Cactus,3
0,BOTANY,"Lodgepole, Digger & Ponderosa are species of this most important timber tree",pine,3
0,BOTANY,This smooth-skinned variety of peach can sometimes be found on the same tree as its fuzzy brethren,a nectarine,3
0,BOTANY,"Varieties of this flower  include Leen Van Der Mark, Orange Emperor & Apeldoorn",the tulip,3
0,BOTANY,2 products of the flax plant are linen & this oil produced from the seeds & used in art class,linseed oil,3
0,BOTANY,"Lilies, like tulips, are grown from these",bulbs,3
0,BOTANY,"The largest seeds are the nuts of the coco-de-mer, a type of this tree that grows in the Seychelles",Coconut palm,3
1,BOTANY,The President Hoover & Christian Dior are some names among hybrid tea varieties of this flower,roses,3
0,BOTANY,"The Egyptian lotus is actually a member of these ""water"" plants that grow on the surface of rivers & streams",Water lilies,3
0,BOTANY,"Also called sphagnum or bog moss, it's sometimes used as a packing material for shipping plants",peat moss,3
0,BOTANY,"His garden at Altbrunn Monastery included several pairs of yellow peas, each with a different trait",(Gregor) Mendel,3
0,BOTANY,"Maidenhair, Bracken, & Boston are species of this spore-bearing plant",a fern,3
0,BOTANY,They are the individual parts of a flower's corolla,petals,3
0,CHEMISTRY,In 1803 John Dalton wrote all elements are composed of small particles he called these,atoms,12
0,CHEMISTRY,"Some examples are gallic, malic, & lactic",acids,12
0,CHEMISTRY,"A rating for the performance of gas in a car engine, it measures the freedom from knocking",octane,12
0,CHEMISTRY,"The ""wet"" type is used for cars, the ""dry"" type for flashlights",a battery,12
0,CHEMISTRY,"Now employed in welding, this gas, He, has been used to lift balloons & dirigibles",Helium,12
0,CHEMISTRY,"When lemon juice is dropped on blue litmus paper, the paper will turn this color",red,12
0,CHEMISTRY,Perfectly dry iron doesn't do this because galvanic action won't take place without water being present,rust,12
0,CHEMISTRY,Photochemistry studies the effect of this on substances,light,12
0,CHEMISTRY,Term for the time it takes 50% of the nuclei of a sample of radioactive material to decay,half-life,12
0,CHEMISTRY,Liquid oxygen normally does this at -183 centigrade,evaporate (or boil),12
0,CHEMISTRY,"The gas you exhale, it makes dry ice when solid",Carbon Dioxide,12
0,CHEMISTRY,"This particle adds to the mass of an atom, but not to the charge",a neutron,12
0,CHEMISTRY,"At a temperature of -183 degrees Celsius, liquid oxygen does this",evaporates (or boils),12
0,CHEMISTRY,Allotrope of carbon that's used as a solid lubricant,graphite,12
1,CHEMISTRY,Term for a substance that causes or accelerates a chemical reaction without itself being affected,a catalyst,12
0,CHEMISTRY,The only element with only one electron in its K shell,hydrogen,12
0,CHEMISTRY,A calorimeter measures the amount of this added to or removed from a process,Heat,12
0,CHEMISTRY,Around 1630 Jan van Helmont discovered this gas given off by burning wood & called it gas sylvestre,carbon dioxide,12
0,CHEMISTRY,"Like radium, calcium is classed as this type of element",metal,12
0,CHEMISTRY,Element that today makes up 80-90% of pewter,tin,12
0,COLORS,"It's a creamy white color, or what white piano keys were once widely made of",Ivory,9
0,COLORS,"Name shared by former football player Jim, former  Governor Jerry  & current TV cop ""Downtown\""",Brown,9
0,COLORS,Appropriate shade of blue to wear at 12 A.M.,Midnight blue,9
1,COLORS,Royal & navy,blue,9
0,COLORS,Here's a hint from Heloise: celebrate St. Patrick's Day by dyeing your mashed potatoes this color,green,9
0,COLORS,"If you want to stand out, you can't beat the fire-engine shade of this",red,9
0,COLORS,"Legally, it's the color of most NYC taxis",yellow,9
0,COLORS,This Indian name for corn also refers to the color of corn,Maize,9
0,COLORS,Mint & moss,green,9
0,COLORS,It's the color named for the fatty part of milk that rises to the top,cream,9
0,COLORS,"Of outer ear, Outer Mongolia or outer space, the one that became a Crayola color in 1998",outer space,9
0,COLORS,Carmine is a shade of this color,red,9
0,COLORS,This fruity shade of orange shares its name with the Chinese officials who wore robes of that color,Mandarins,9
0,COLORS,Flaxen is a pale shade of this color,yellow,9
1,COLORS,Maize & dandelion,yellow,9
0,COLORS,"On the flag of El Salvador, the stripe of this color represents peace",white,9
0,COLORS,"Like the flower of the same name, buttercup is a pretty shade of this color",yellow,9
0,COLORS,Kale & spinach are leafy these,greens,9
0,COLORS,Color & name of 1 of the 4 ghosts in Ms. Pacman,"pink & Pinky, red & Blinky, blue & Inky, gold or orange & Sue",9
0,COLORS,Battleship & ash,gray,9
0,DINOSAURS,"Nicknamed Sue, the largest of these, the ""King of the Dinosaurs"", was uncovered in South Dakota in 1990",Tyrannosaurus Rex,16
0,DINOSAURS,"This dinosaur ""king"" could run as fast as 25 MPH & recent evidence suggests it was warm-blooded",the Tyrannosaurus rex,16
0,DINOSAURS,"Of geologist, paleontologist, or philologist, the one that most accurately describes a dinosaur scientist",a paleontologist,16
1,DINOSAURS,Velociraptors had ossified tendons in their tails that helped them maintain this while striking & slashing at prey,balance,16
0,DINOSAURS,"This Saturday morning TV host has a dinosaur family living in the wall of his ""Playhouse\""",Pee-wee Herman,16
0,DINOSAURS,This plant-eater named for the 3 horns on its face was at least 25 feet long,Triceratops,16
0,DINOSAURS,"This dinosaur of the late Cretaceous Period had 2 brow horns & one nose horn, as its name indicates",the Triceratops,16
0,DINOSAURS,"Some speculate that this ""monster"" of Scotland may be an aquatic dinosaur known as a Plesiosaur",the Loch Ness monster,16
0,DINOSAURS,Iridium-rich sediment around the world led to the hypothesis that one of these caused dinosaur extinction,meteor,16
0,DINOSAURS,"The mamenchisaurus could really stick this out -- it had the largest of any dinosaur, about 36 feet",Neck,16
0,DINOSAURS,The only continent where dinosaur remains have never been found,Antarctica,16
0,DINOSAURS,"The 75-foot-long apatosaurus has also been known by this name, which means ""thunder lizard\""",Brontosaurus,16
0,DINOSAURS,One theory says the triangular plates on its back helped control body temperature; another says they attracted mates,the Stegosaurus,16
0,DINOSAURS,"This ""roof lizard"" famous for the triangular plates on its back had a brain the size of a ping pong ball",the Stegosaurus,16
0,DINOSAURS,"Found in the gizzards of some dinosaurs, gastroliths are these, which helped in the digestion of plant matter",stones,16
0,DINOSAURS,"\""Apatosaurus"" is the new name for this ""thunder lizard"" whose old name was due to a scientific error",brontosaurus,16
0,DINOSAURS,"Made famous by ""Jurassic Park"", this 6-foot-long ""swift robber"" had a ""killing claw"" on each foot",a Velociraptor,16
1,DINOSAURS,The first dinosaurs appeared during this period named for the division of rock strata into 3 units,Triassic,16
0,DINOSAURS,"We still don't know how, but this happened to dinosaurs at the end of the Mesozoic era",they became extinct,16
0,DINOSAURS,This predator seen here was noted for its razor-sharp claws & for its speed,Velociraptor,16
0,HODGEPODGE,"Rachmaninoff, Bismarck & Edmond Rostand were all born on this day, no ""fool""ing",April 1st,7
0,HODGEPODGE,"This Norse god had iron gloves, a belt of strength & a magic hammer",Thor,7
0,HODGEPODGE,2-letter term for what you become when you're tagged in tag,it,7
0,HODGEPODGE,RR engineer John Luther Jones got this nickname from his Kentucky hometown,"\""Casey\""",7
0,HODGEPODGE,Hershey makes Reese's Peanut Butter Cups as well as these related candies with a rhyming name,Reese's Pieces,7
0,HODGEPODGE,Wind instruments blown by the player are traditionally divided into woodwinds & these,brass,7
0,HODGEPODGE,Keebler claims these creatures make its cookies,elves,7
0,HODGEPODGE,"At a 2005 auction, paintings by Warhol & Renoir didn't sell, but 3 by Congo, one of these playful primates, did",a chimp,7
0,HODGEPODGE,"From 1909 until 1958, ears of wheat appeared on the back of this U.S. coin",the penny,7
1,HODGEPODGE,Steve Jobs sold his VW minibus & Steve Wozniak sold his calculator to get the money to form this company,Apple,7
0,HODGEPODGE,"Of Italy's president, a style of pasta, or a brand of motor scooter, what tagliatelle is",a style of pasta,7
0,HODGEPODGE,In 1844 Charles Goodyear earned a patent to inhibit this material from melting & sticking,Rubber,7
0,HODGEPODGE,"Alphabetically, the 7 colors of the visible light spectrum run from this to violet",blue,7
0,HODGEPODGE,"If a corundum gem is red, it's a ruby; if it's any other color -- especially blue -- it's this",sapphire,7
1,HODGEPODGE,These marionette features are often made of linen thread or fishline,the string,7
0,HODGEPODGE,Carnivorous name for the warders of the Tower of London,Beefeaters,7
0,HODGEPODGE,"As of July 1, 2002 this currency of Italy will be no more; that's when Europe switches to using Euros for everything",lira,7
0,HODGEPODGE,"The ""Citrus Obsession"" version of this classic Mattel doll is scented to smell like a piece of fruit",Barbie,7
0,HODGEPODGE,"On our summer solstice, the sun at noon is directly over this ""tropic\""",the Tropic of Cancer,7
0,HODGEPODGE,In 2009 Facebook overtook this rival to become the biggest social networking website,Myspace,7
0,INVENTORS & INVENTIONS,In 1869 Hippolyte Mege-Mouries of France invented this butter substitute by using beef fat,margarine,4
0,INVENTORS & INVENTIONS,"Walter Diemer, with the Fleer Co., invented the first commercially successful type of this chewing gum in 1928",bubble gum,4
0,INVENTORS & INVENTIONS,This early 20th C. invention by Willis Carrier helps you keep a cool head on hot summer nights,air conditioner,4
0,INVENTORS & INVENTIONS,"In 1879 James A. Ritty invented this machine, & retailers have been ringing up sales ever since",a cash register,4
0,INVENTORS & INVENTIONS,The World Almanac's list of inventions goes from Pascal's adding machine to a 1913 improvement of this fastener,a zipper,4
0,INVENTORS & INVENTIONS,"To control the flow of buggies & pedestrians, J.P. Knight invented the first of these in London in 1868 using a lantern",a traffic signal,4
0,INVENTORS & INVENTIONS,"Within 6 years of moving his lab to Menlo Park, he had applied for around 400 new patents",(Thomas) Edison,4
0,INVENTORS & INVENTIONS,"With $1300, Stephen Wozniak & this partner formed the Apple Computer Company in 1976",Steve Jobs,4
0,INVENTORS & INVENTIONS,In 1798 this cotton gin inventor began using a system of interchangeable parts to make muskets for the U.S. government,Eli Whitney,4
0,INVENTORS & INVENTIONS,In 1858 Cyrus Field laid the 1st transatlantic cable from Ireland to this Canadian province,Newfoundland,4
0,INVENTORS & INVENTIONS,"Around 1870 Christopher Sholes & 2 friends invented the 1st practical one of these, including a QWERTY keyboard",typewriter,4
0,INVENTORS & INVENTIONS,In 1887 Adolf Fick invented an early form of these to replace eyeglasses,contact lenses,4
0,INVENTORS & INVENTIONS,"After failing to make synthetic rubber out of chicle, Thomas Adams flavored it & sold it as this",gum,4
0,INVENTORS & INVENTIONS,"In 1769 he patented a ""Method of Lessening the Consumption of Steam & Fuel in Fire Engines\""",James Watt,4
0,INVENTORS & INVENTIONS,"In 1895 he began sending & receiving wireless signals as far as 1.5 miles at his father's home near Bologna, Italy",Marconi,4
0,INVENTORS & INVENTIONS,In June 1974 a package of Wrigley's gum became the first product scanned having one of these,a barcode,4
0,INVENTORS & INVENTIONS,"It was used in the 1780s, long before the airplane; Gleb Kotelnikov first put one in a knapsack in 1911",a parachute,4
0,INVENTORS & INVENTIONS,In the 1960s James T. Russell invented these to replace vinyl records; now they're giving way to downloads,CDs,4
0,INVENTORS & INVENTIONS,"In 1971, 3 engineers invented this company's 4004 chip, the world's first single-chip microprocessor",Intel,4
0,INVENTORS & INVENTIONS,In 1935 Professor Arnold Beckman introduced an electronic type of this meter to measure acidity,a pH meter,4
0,MOUNTAINS,"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest,15
1,MOUNTAINS,It's one of the main attractions of the Pike National Forest,Pikes Peak,15
0,MOUNTAINS,For centuries trade has moved between Austria & Italy through the Brenner Pass in these mountains,the Alps,15
0,MOUNTAINS,"John Hunt, leader of the expedition that put Edmund Hillary atop this mountain, was made a baron",Mount Everest,15
0,MOUNTAINS,"Of Uncle Mountain, Sister Mountain or Grandfather Mountain, the highest peak in the Blue Ridge range",Grandfather Mountain,15
0,MOUNTAINS,"The Hoosac Mountains are a range of these ""colorful"" mountains located in Vermont",the Green Mountains,15
1,MOUNTAINS,"Boulder, Colorado is in the Flatiron Range, part of these mountains",Rocky Mountains,15
0,MOUNTAINS,The name of Mont Blanc means this color mountain,white,15
0,MOUNTAINS,Coffee plantations & tribal villages are located on the lower parts of this Tanzanian volcano,Mount Kilimanjaro,15
0,MOUNTAINS,Mount Fairweather contains the highest point in this westernmost Canadian province,British Columbia,15
0,MOUNTAINS,"This home of Thomas Jefferson sits atop a ""little mountain"", which is what its name means in Italian",Monticello,15
0,MOUNTAINS,"One of Europe's few active volcanoes, Stromboli lies in the Tyrrhenian Sea off the coast of this nation's ""toe\""",Italy,15
0,MOUNTAINS,"This peak's name in Arabic is Jabal Musa, or ""Mount of Moses\""",Mount Sinai,15
0,MOUNTAINS,"In 1963 Jim Whittaker became the first American to reach the summit of this 29,035-foot mountain",Mt. Everest,15
0,MOUNTAINS,"What the Arabs call Jebel Musa, ""Mountain of Moses"", is better known as this",Mount Sinai,15
1,MOUNTAINS,"The altitudes of mountains, like 13,160 feet for Wheeler Peak, are measured as heights above this",sea level,15
0,MOUNTAINS,Riding the skylift to the top of Stone Mountain is one of the fun things to do in this Southern state,Georgia,15
0,MOUNTAINS,"The Himalayas have at least 30 peaks over 25,000 feet including this one at 29,028 feet",Mount Everest,15
0,MOUNTAINS,It's said the name of this mountain near Pompeii comes from a word for smoke,Vesuvius,15
0,MOUNTAINS,"The Waianae Mountains in this U.S. state rise up to 4,025-foot Mt. Kaala",Hawaii,15
0,MYTHOLOGY,"2 of their most important gods were Ra, the sun god & Osiris, the river god",Egyptians,8
0,MYTHOLOGY,"The son of Venus, this Roman god of love carried a bow & arrows to shoot his victims",Cupid,8
1,MYTHOLOGY,"When Achilles' mother dipped him into the River Styx, she held him by this",heel,8
0,MYTHOLOGY,It was believed drinking cups made from the single horn of this mythical animal could neutralize poison,unicorn,8
0,MYTHOLOGY,The underworld was named after this brother of Zeus who ruled there,Hades,8
0,MYTHOLOGY,Some say these one-eyed giants were master craftsmen who worked for Hephaestus,the Cyclopes,8
0,MYTHOLOGY,"The son of Cronus & Rhea, he's the chief god of Greek mythology",Zeus,8
1,MYTHOLOGY,"Part hippopotamus & part woman, the Egyptian goddess Taweret had the tail of this alligator relative",a crocodile,8
0,MYTHOLOGY,Some say his 12 labors were penance for killing his wife Megara & their children,Hercules,8
0,MYTHOLOGY,This leader of the Argonauts was raised by the centaur Chiron,Jason,8
0,MYTHOLOGY,One of his labors was cleaning the stables of King Augeas,Hercules,8
0,MYTHOLOGY,"Jove was the other name for this Roman god, by Jove",Jupiter,8
0,MYTHOLOGY,"When she opened the box that released all the misfortunes on the world, she shut it in time to keep hope inside",Pandora,8
1,MYTHOLOGY,He encountered the monstrous Scylla & Charybdis on his long journey home from the Trojan War,Ulysses,8
0,MYTHOLOGY,"The ancient Romans worshipped many of the same gods as these people, but changed many of the names",Greeks,8
0,MYTHOLOGY,"Hera urged Eurystheus to take this stepchild of hers to task, 12 of them as a matter of fact",Hercules,8
0,MYTHOLOGY,"When he was depicted as a child god, Horus, son of this Egyptian goddess, was known as Harpokrates",Isis,8
0,MYTHOLOGY,This Greek mountain was the home of the gods,Mount Olympus,8
0,MYTHOLOGY,"These half-horse, half-man creatures were notorious for misbehaving at parties",centaurs,8
0,MYTHOLOGY,Jupiter is the Roman equivalent of this Greek god,Zeus,8
0,SCIENCE,"Magnetism occurs most strongly in 3 elements: nickel, cobalt & this",Iron,13
0,SCIENCE,Water freezes at this temperature centigrade,zero,13
0,SCIENCE,In fireflies the chemical luciferase acts on luciferin to produce this,light,13
1,SCIENCE,In 1665 Robert Hooke described & named this structural unit; bacteria have only one,Cell,13
0,SCIENCE,"While we have 23 pairs of these in each cell, the fruit fly makes do with 4, only 1 of them sex-related",chromosomes,13
0,SCIENCE,The vast majority of this second-lightest gas comes from natural gas fields in the U.S.,helium,13
0,SCIENCE,"Each of these organs contains about 1 million nephrons, which filter blood",the kidneys,13
0,SCIENCE,In 1698 Thomas Savery designed the first practical engine to run on this power,Steam,13
0,SCIENCE,"Copernicus taught that this was at the center of the universe, too",sun,13
0,SCIENCE,Continent which contains most of the world's fresh H2O,Antarctica,13
1,SCIENCE,"This fine-grained, tough quartz makes a spark when struck against steel",flint,13
0,SCIENCE,"This blood protein now comes in alpha, beta & gamma types",Globulins,13
0,SCIENCE,"2000 news: the Gunnison sage grouse isn't just another northern sage grouse, but a new one of this classification",species,13
0,SCIENCE,The transmission of light through clear glass or plastic filaments is called this,fiber optics,13
0,SCIENCE,Sialia mexicana is the scientific name of the western bluebird: Sialia is the genus & mexicana tells you this,the species,13
0,SCIENCE,"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound,13
0,SCIENCE,The third law of thermodynamics implies that a system can never be brought to this temperature point,absolute zero,13
0,SCIENCE,"It's the weakest of the 4 basic forces, but it's strong enough to keep the moon orbiting the Earth",gravity,13
1,SCIENCE,"Of copper, iron or aluminum, the one that would be most attracted to a magnet",iron,13
0,SCIENCE,It's the more familiar name for light amplification by the stimulated emission of radiation,laser,13
0,THE AMERICAN REVOLUTION,Washington crossed the Delaware & surprised the Hessians at Trenton on this holiday,Christmas,17
0,THE AMERICAN REVOLUTION,"During his 16 months of treasonous activities, he used the name ""Monk"" when dealing with the British",Benedict Arnold,17
0,THE AMERICAN REVOLUTION,"About 60 members of the Sons of Liberty dressed as Indians for this December 16, 1773 incident",Boston Tea Party,17
0,THE AMERICAN REVOLUTION,"2 days before his more famous ride of April 18, 1775, he galloped to Concord to warn patriots to move military supplies",Paul Revere,17
0,THE AMERICAN REVOLUTION,During the war General Thomas Conway suggested that this man be replaced as commander-in-chief,George Washington,17
1,THE AMERICAN REVOLUTION,"Just 1 year after it was passed in 1765, this hated British tax law was repealed",the Stamp Act,17
0,THE AMERICAN REVOLUTION,In 1779 this pamphleteer was appointed clerk of the Pennsylvania assembly,Thomas Paine,17
0,THE AMERICAN REVOLUTION,"The Peace of Paris was signed in 1783 by Ben Franklin, John Adams & this future first chief justice",John Jay,17
0,THE AMERICAN REVOLUTION,"During the winter of 1777-78 at this site, Washington lost 1/4 of his men to malnutrition, exposure & disease",Valley Forge,17
0,THE AMERICAN REVOLUTION,"Samuel Adams was at John Hancock's home when this man brought news of the British advance on April 18-18, 1775",Paul Revere,17
